datestr,GDPC1,RSXFS,PPIACO,PCECTPI,DCOILWTICO,USSTHPI,WPU02540105,COMPUTSA,NGDPRSAXDCCAQ,PCEC96
1980-01-01,7341.5571,,86.532997,37.544998,,100,,1766,223045.8,
1980-04-01,7190.2891,,88.266998,38.464001,,101.66,,1588,222948.3,
1980-07-01,7181.7432,,91.167,39.363998,,104.46,,1393,222763,
1980-10-01,7315.6768,,93.266998,40.338001,,104.57,,1321,225845.3,
1981-01-01,7459.022,,96.099998,41.383999,,105.19,,1347,230710.8,
1981-04-01,7403.7451,,98.266998,42.077999,,107.41,,1355,233233.3,
1981-07-01,7492.4048,,98.932999,42.771999,,108.85,,1260,231136.3,
1981-10-01,7410.7681,,98.833,43.426998,,107.49,,1136,230073.3,
1982-01-01,7295.6309,,99.699997,43.979,,106.14,,984,227440.3,
1982-04-01,7328.9121,,99.800003,44.402,,108.8,,990,224821.8,
1982-07-01,7300.896,,100.233,45.103001,,107.02,,979,222828,
1982-10-01,7303.8169,,100.333,45.601002,,111.7,,1062,220771.8,
1983-01-01,7400.0659,,100.367,45.978001,,114.43,,1163,224379.8,
1983-04-01,7568.4561,,100.733,46.397999,,115.94,,1280,228806.3,
1983-07-01,7719.7461,,101.7,47.007999,,116.96,100.8,1538,231376.8,
1983-10-01,7880.7939,,102.2,47.318001,,117.66,103.4,1519,234253.3,
1984-01-01,8034.8472,,103.333,47.830002,,119.43,112.25,1586,238310.5,
1984-04-01,8173.6699,,104.033,48.292999,,121.04,110.567,1710,242935.3,
1984-07-01,8252.4648,,103.8,48.666,,122.17,110.467,1673,243979.8,
1984-10-01,8320.1992,,103.533,48.966,,123.15,110.5,1624,247787.5,
1985-01-01,8400.8203,,103.267,49.543999,,124.9,109.733,1711,251594.5,
1985-04-01,8474.7871,,103.367,49.945,,126.77,109.267,1695,252403.8,
1985-07-01,8604.2197,,102.667,50.337002,,128.75,108.233,1728,255608,
1985-10-01,8668.1885,,103.3,50.688,,130.17999,109,1682,259505,
1986-01-01,8749.127,,101.733,51.047001,17.219999,132.72,107.433,1744,259373.5,
1986-04-01,8788.5244,,99.833,50.993,13.87,135.5,104.067,1730,260864.3,
1986-07-01,8872.6006,,99.366997,51.263,13.81,137.56,105.367,1739,261192.3,
1986-10-01,8920.1934,,99.733002,51.573002,15.41,139.69,105.4,1805,259301.5,
1987-01-01,8986.3672,,100.9,52.061001,18.25,142.46001,105.333,1776,265295,
1987-04-01,9083.2559,,102.5,52.563999,19.41,144.67999,105.267,1694,268693.5,
1987-07-01,9162.0244,,103.667,53.062,20.41,146.34,105.6,1632,272798.81,
1987-10-01,9319.332,,104.167,53.52,18.66,147.3,103.9,1596,276323,
1988-01-01,9367.502,,104.767,53.943001,16.690001,149.59,103.367,1535,280349,
1988-04-01,9490.5938,,106.5,54.539001,17.25,152.59,99.766998,1537,282836.81,
1988-07-01,9546.2061,,108,55.210999,15.18,154.17999,100.633,1536,282878.81,
1988-10-01,9673.4053,,108.5,55.769001,14.76,155.59,102.233,1494,284820,
1989-01-01,9771.7246,,110.933,56.41,18.51,157.39999,101.433,1533,288111,
1989-04-01,9846.293,,112.8,57.169998,20.389999,159.56,98.300003,1446,289231.81,
1989-07-01,9919.2275,,112.4,57.507,19.290001,162.96001,97.967003,1384,290276,
1989-10-01,9938.7666,,112.833,57.959,20.33,164.31,96,1371,289698.31,
1990-01-01,10047.386,,114.5,58.799,21.780001,165.24001,96.733002,1402,292484.31,
1990-04-01,10083.855,,114.333,59.333,17.77,165.92999,99.567001,1315,291310.81,
1990-07-01,10090.569,,116.467,60.087002,26.219999,166.96001,99.699997,1305,289223,
1990-10-01,9998.7041,,119.867,60.882,32.09,166.31,99.032997,1234,286647.81,
1991-01-01,9951.916,,117.467,61.202,21.98,167.67999,98.300003,1138,282524,
1991-04-01,10029.51,,116.3,61.535999,20.77,168.8,92.432999,1085,283880,
1991-07-01,10080.195,,116.133,61.953999,21.65,169.13,90.967003,1114,284256.5,
1991-10-01,10115.329,,116.233,62.403999,21.780001,171.49001,91.333,1030,284756,
1992-01-01,10236.435,146984,115.9,62.794998,18.9,172.82001,93,1096,284957,
1992-04-01,10347.429,148947,117.167,63.212002,21.219999,172.78,93.467003,1153,285281.81,
1992-07-01,10449.673,151472,117.867,63.615002,21.67,174.75,95.967003,1171,286827,
1992-10-01,10558.648,154239,117.833,64.058998,20.48,175.62,96.199997,1187,288461.31,
1993-01-01,10576.275,156191,118.367,64.441002,19.83,175.7,93.699997,1159,290292.81,
1993-04-01,10637.847,159904,119.5,64.874001,19.74,177.39,93.567001,1173,292937,
1993-07-01,10688.606,162860,118.867,65.154999,17.809999,178.82001,96.233002,1175,295738.5,
1993-10-01,10833.987,166480,118.9,65.530998,16.43,180.28999,103.133,1257,297003.5,
1994-01-01,10939.116,169978,119.367,65.765999,14.83,181.42,102.167,1279,301382.81,
1994-04-01,11087.361,173225,120.033,66.133003,17.83,182.49001,106.233,1380,305782.5,
1994-07-01,11152.176,176954,120.967,66.607002,18.469999,183.25,110.033,1348,309702.81,
1994-10-01,11279.932,180929,121.433,66.919998,17.639999,183.09,105.7,1376,311952.5,
1995-01-01,11319.951,180971,123.433,67.247002,18.379999,184.05,109.167,1377,314818.81,
1995-04-01,11353.721,183768,124.933,67.639,19.34,187.08,108.733,1303,314952.5,
1995-07-01,11450.31,186534,125.2,67.915001,17.870001,189.97,107.067,1299,315368.81,
1995-10-01,11528.067,188798,125.467,68.213997,18.129999,191.42,108,1298,316641.5,
1996-01-01,11614.418,191810,126.3,68.593002,19.76,193.57001,106.4,1363,317101,
1996-04-01,11808.14,195695,127.833,69.052002,21.709999,193.89,107.967,1396,319358.5,
1996-07-01,11914.063,197088,128.16701,69.346001,22.34,194.75,108.333,1433,322040.81,
1996-10-01,12037.775,200656,128.433,69.819,24.629999,196.27,109.6,1431,324592.31,
1997-01-01,12115.472,203882,128.5,70.126999,22.85,197.89999,110.8,1456,328941.5,
1997-04-01,12317.221,203258,127.2,70.303001,19.92,199.53,111.2,1384,332643.31,
1997-07-01,12471.01,207658,127.2,70.487999,19.799999,202.24001,114.367,1362,336586.81,
1997-10-01,12577.495,208792,127.5,70.709999,19.959999,204.87,120.067,1415,339839.5,
1998-01-01,12703.742,210017,125.033,70.714996,15.94,207.94,119.4,1411,344638,
1998-04-01,12821.339,214870,124.933,70.843002,14.64,209.8,119.633,1477,344820.5,
1998-07-01,12982.752,214732,124.3,71.061996,14.22,212.74001,119.767,1508,347962.5,
1998-10-01,13191.67,221265,123.467,71.249001,12.93,215.25999,119,1496,352677.31,
1999-01-01,13315.597,225888,122.6,71.389999,13.17,217.52,117.1,1577,359045,
1999-04-01,13426.748,230725,124.5,71.795998,17.65,220.42,115.1,1617,362006.31,
1999-07-01,13604.771,235998,126.867,72.191002,21.719999,223.55,114.1,1601,367680.5,
1999-10-01,13827.98,241194,127.933,72.628998,24.6,225.84,113.7,1616,372831.5,
2000-01-01,13878.147,246798,129.633,73.219002,28.9,230.16,114.733,1652,378669,
2000-04-01,14130.908,246731,132.033,73.568001,28.92,233.91,114.367,1607,383125.81,
2000-07-01,14145.312,248863,133.767,74.042,31.629999,238.17999,114.7,1532,387053,
2000-10-01,14229.765,250737,135.533,74.459999,32.060001,241.82001,114.4,1524,387818.5,
2001-01-01,14183.12,251895,137.767,75.012001,28.76,247.81,126.433,1487,390001.5,
2001-04-01,14271.694,254668,136.233,75.362999,27.92,251.97,131.2,1575,391228,
2001-07-01,14214.516,252467,133.367,75.401001,26.700001,255.88,132.033,1583,390953,
2001-10-01,14253.574,261687,129.39999,75.431999,20.5,259.04001,137.633,1616,393297.81,
2002-01-01,14372.785,257012,128.89999,75.584,21.639999,262.76001,142.33299,1621,399048.5,
2002-04-01,14460.848,259564,130.83299,76.144997,26.27,267.23999,147.433,1640,401406.31,
2002-07-01,14519.633,262813,131.66701,76.539001,28.32,272.54001,158.633,1659,404877.31,
2002-10-01,14537.58,263817,133.067,76.896004,28.299999,276.41,162.7,1663,407101,
2003-01-01,14614.141,266079,138.033,77.484001,34.040001,279.76999,167.867,1660,409366,
2003-04-01,14743.567,268318,137.16701,77.561996,28.98,283.20001,159.5,1679,408772.31,
2003-07-01,14988.782,275916,138.067,78.072998,30.219999,287.57001,156.067,1656,410300.5,
2003-10-01,15162.76,276891,139.233,78.457001,31.17,295.70001,155.367,1712,413121,
2004-01-01,15248.68,282018,142.2,79.061996,35.34,300.35001,163.067,1740,416125,
2004-04-01,15366.85,285112,146.267,79.594002,38.32,307.69,165.933,1896,421055.5,
